,Classes,name,ingredients,ingredients_raw_str,servings,weights
67,omelette,Omelette,"['eggs', 'water', 'dried thyme', 'black pepper', 'onion', 'celery', 'mixed mushrooms', 'sunflower oil', 'cheddar cheese']","['2       eggs (free-range)', '1   tablespoon    water (cold)', '1   pinch    dried thyme', '  black pepper (freshly ground)', '1   tablespoon    onion (peeled and chopped)', '1   tablespoon    celery, chopped ', '50   g    mixed mushrooms, chopped ', '1   tablespoon    sunflower oil', '25   g    cheddar cheese, grated ']",1,"[100, 14.7868, '', '', 14.7868, 14.7868, 50, 14.7868, 25]"
68,onion_rings,Onion Rings,"['sweet onions', 'corn flakes', 'salt', 'sugar', 'paprika', 'eggs']","['2   large    sweet onions, peeled and cored ', '7   ounces    corn flakes, crushed ', '1   teaspoon    salt or 1   teaspoon    seasoning salt', '2   teaspoons    sugar', '1   teaspoon    paprika', '4       eggs']",4,"[200, 198.4465, 4.92892, 9.85784, 4.92892, 200]"
69,oysters,Oysters,"['smoked oysters', 'olive oil', 'worcestershire sauce', 'lemon juice', 'tabasco sauce', 'triscuit crackers']","['1 (3 3/4  ounce) can   smoked oysters', '1   tablespoon    olive oil', '2   tablespoons    Worcestershire sauce', '1   teaspoon    lemon juice', '1/2  teaspoon    Tabasco sauce (season to taste)', '12       Triscuit crackers']",2,"[115, 14.7868, 29.5736, 4.92892, 2.46446, 60]"
70,pad_thai,Pad Thai,"['fish sauce', 'rice vinegar', 'tomato paste', 'sugar', 'rice noodles', 'eggs', 'canola oil', 'garlic cloves', 'baby carrots', 'sliced mushrooms', 'green onions', 'boneless skinless chicken breast', 'shrimp', 'dry-roasted unsalted peanuts', 'bean sprouts', 'lime', 'crushed red pepper flakes']","['', '6   tablespoons    fish sauce', '1/2  cup    rice vinegar (unseasoned)', '3   tablespoons    tomato paste', '1/2  cup    sugar', '', '8   ounces    rice noodles (Medium Width)', '2       eggs', '2 1/2  tablespoons    canola oil', '5 -6       garlic cloves, Minced ', '1/4  cup    baby carrots, Julienned ', '4   ounces    sliced mushrooms', '5       green onions, Chopped ', '1/2  lb    boneless skinless chicken breast, Cooked and cut into bite size pieces ', '1/2  lb    shrimp, Cooked, Peeled and Deveined  (Thawed)', '3/4  cup    dry-roasted unsalted peanuts, Coarsely Chopped ', '4   ounces    bean sprouts', '1       lime, cut into wedges ', '  crushed red pepper flakes']",6,"[88.7208, 118.294, 44.3604, 118.294, 226.796, 100, '', 30, 59.147, 113.398, 35, 226.796, 226.796, 177.441, 113.398, 20, 5]"
71,paella,Paella,"['vidalia onion', 'garlic cloves', 'red bell pepper', 'olive oil', 'paprika', 'kielbasa', 'andouille sausage', 'white rice', 'chicken stock', 'saffron thread', 'fresh mussels', 'medium raw shrimp', 'frozen sweet peas', 'chicken stock', 'fresh parsley']","['1   cup    vidalia onion, small dice ', '5       garlic cloves, minced ', '1      whole red bell pepper, diced ', '1   tablespoon    olive oil', '2   teaspoons   spanish paprika', '1/2  lb    kielbasa, sliced on the diagonal ', '1/2  lb    andouille sausage, sliced ', '1 1/2  cups   uncooked white rice (I used Basmati rice)', '2 2/3  cups   good chicken stock', '1   pinch    saffron thread', '1   lb    fresh mussels', '1   lb    medium raw shrimp, peeled & deveined ', '1   cup    frozen sweet peas', "" extra chicken stock (the origninal recipe didn't state the amount so I had to adjust as I went.)"", '2   tablespoons    fresh parsley, chopped ']",6,"[236.588, 20, 60, 14.7868, 9.85784, 226.796, 226.796, 200, '', '', 453.592, 453.592, 236.588, '', 29.5736]"
72,pancakes,Pancakes,"['egg', 'all-purpose flour', 'milk', 'vegetable oil', 'white sugar', 'baking powder', 'salt']","['1       egg', '1   cup    all-purpose flour (If using self rising flour, omit baking powder and salt.)', '3/4  cup    milk', '2   tablespoons    vegetable oil', '1   tablespoon    white sugar', '3   teaspoons    baking powder', '1/2  teaspoon    salt']",1,"[50, 236.588, 177.441, 29.5736, 14.7868, 14.78676, 2.46446]"
73,panna_cotta,Panna Cotta,"['skim milk', 'unflavored gelatin', 'heavy cream', 'white sugar', 'vanilla extract']","['1/3  cup    skim milk', '1 (1/4  ounce) envelope   unflavored gelatin', '2 1/2  cups    heavy cream', '1/2  cup    white sugar', '1 1/2  teaspoons    vanilla extract']",6,"[78.86266666666666, 50, 250, 118.294, '']"
74,peking_duck,Peking Duck,"['duck', 'sugar', 'soy sauce', 'plum sauce', 'red bean paste', 'scallions', 'cucumber', 'flour', 'boiling water', 'vegetable oil']","['3 -4   lbs    duck', '1   teaspoon   malt sugar', '2   tablespoons    soy sauce', '1/2  cup    plum sauce', '1/2  cup   sweet red bean paste or 1/2  cup    hoisin sauce', '10       scallions, trimmed and quartered lengthwise ', '1   small    cucumber, peeled and cut lengthwise into thin strips about 2 inches long ', '', '2   cups    flour', '1   cup    boiling water', '  vegetable oil or   sesame oil']",4,"[2000, 4.92892, 29.5736, 118.294, 118.294, 80, 25, 473.176, 236.588, '']"
75,pho,Pho Ga (Vietnamese Chicken Noodle Soup),"['rice noodles', 'chicken wings', 'water', 'garlic clove', 'ginger', 'lemongrass', 'kaffir lime leaves', 'fresh galangal root', 'lettuce', 'tomatoes', 'bean sprouts', 'lime%2c juice of', 'nam pla', 'salt and black pepper', 'fresh cilantro leaves']","['3   ounces    rice noodles (pho)', '4      boneless chicken wings', '1   liter    water', '1       garlic clove', '1   inch    ginger, minced ', '5      stems lemongrass', '5       kaffir lime leaves', '1   inch    fresh galangal root, minced ', '3   leaves    lettuce', '1/2  small    tomatoes', '2   cups    bean sprouts', '1/2      lime, juice of', '1 1/2  tablespoons    nam pla', '  salt and black pepper, to taste ', '1/4  cup    fresh cilantro leaves, minced ']",2,"[85.04849999999999, 120, 1000, 5, 5, '', '', '', 10, 15, 473.176, '', '', '', 59.147]"
76,pizza,Pizza,"['wrap', 'cheese', 'tomato paste', 'oregano']","['1       wrap', '1/2  cup    cheese', '2   tablespoons    tomato paste', '1   teaspoon    oregano']",1,"['', 118.294, 29.5736, 4.92892]"
