,Classes,vitamin_a_per_serving_mcg,vitamin_d_per_serving_mcg,vitamin_e_per_serving_mg,vitamin_c_per_serving_mg,thiamin_per_serving_mg,riboflavin_per_serving_mg,niacin_per_serving_mg,vitamin_b6_per_serving_mg,vitamin_b12_per_serving_mcg,folic_acid_per_serving_mcg,calcium_per_serving_mg,iron_per_serving_mg,protein_per_serving_g,zinc_per_serving_mg
28,croque_madame,101.80499999999999,0.0,0.42599999999999993,1.33,0.26015,0.32165,3.9797000000000002,0.1245,1.1255,8.0,369.25,2.5075000000000003,16.992,2.4665
29,cup_cakes,70.40536855399999,0.15916666666666668,0.24360584906666663,0.44650000000000006,0.08509551347333333,0.16654567968,1.4201227661066664,0.06288518176666666,0.3237396527333334,0.0,133.91778838666664,0.6344302532,7.569963508733333,1.0338213275333334
30,deviled_eggs,666.8609920199999,7.200000000000001,4.582621718,1.20512134,0.0657290224,1.2270844766,0.4654790892,0.056561201199999994,0.691336516,0.0,94.32049759999998,1.247034514,55.25804155000001,0.781309044
31,donuts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5772533333333332,0.0,0.0,0.0
32,dumplings,592.9870354199999,2.898203,4.280275472,0.946352,0.251350107,2.6812320964,8.9785146052,1.7323416978,2.918658022,0.0,2580.5857824000004,16.160936052,27.86439863,5.0578082140000005
33,edamame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,eggs_benedict,286.19907754875,0.0,1.131058283,2.9137458,0.21823946393749996,0.15243401297499998,1.6897974276749999,0.0487382867625,0.009813989875,12.5,92.83318009999999,1.47944197175,4.621098639375,0.5698270628750001
35,escargots,280.7060708,0.0,3.8981640666666673,6.535481333333334,0.02880341733333333,0.13321969466666667,1.4852271653333333,0.113683908,0.5848120133333333,10.0,37.7434,3.044760533333333,14.645292360000003,0.9210516
36,falafel,347.69291210999995,0.236588,0.4983671045,23.098118315,0.13970883875,0.32391925945,1.2937495951,0.08984653787499998,0.6445291954999999,2.125,210.07864139999998,3.42245424825,25.315506587749997,1.242372778
37,filet_mignon,379.11548819999996,0.0,1.18218586,21.3765544,0.237974624,0.15973155999999997,2.5969982800000007,0.02500617,1.0147587200000001,0.85,143.798668,2.45671992,11.491298519999999,0.7838990200000001
38,fish_and_chips,36.3450239775,0.0,0.141838984,0.0,0.117135804875,0.02098470955,1.70688018515,0.10550634872499999,0.00089336775,0.0,4.1907318,1.1170319115,3.06054049875,0.74623877175
39,foie_gras,17009.699999999997,141.74749999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,french_fries,0.0,0.0,0.01,5.25,0.01,0.005,0.175,0.035,0.0,0.0,3.4786799999999998,0.1,0.5,0.085
41,french_onion_soup,513.0426304949999,0.23742706250000004,4.211660702499999,19.01393893,0.305671238,0.6030815314999999,6.246353494499999,0.37592208299999996,1.01111848,0.0,620.8567165,4.1309766275,30.337185369499995,6.835953545
42,french_toast,193.9764,2.2731760000000003,1.7667875999999998,0.24,0.6787527999999999,1.231576,8.536351999999999,0.2172588,1.2819635999999996,24.0,423.19744000000003,7.2909508,74.550072,3.5364572
43,fried_calamari,712.67215737,3.0312855,2.136350821,31.5262546,0.8285341194,0.9864641459,16.202129352800004,0.8108833882999997,3.79891224,34.0194,466.3015873,11.940153149,73.93530445799999,10.233078099000004
44,fried_rice,844.155732,0.5471802000000001,0.80294327,27.2684795,0.37251619333333336,0.3243200133333333,3.32909578,0.4627176033333333,0.5683734699999999,0.0,43.45183133333334,1.6085688266666667,16.558326416666667,1.537604856666667
45,frozen_yogurt,68.27929679999998,5.7904913,3.2601826400000005,0.0,0.008679822799999999,0.144777074,0.055967869999999996,0.033506776800000006,0.38800431999999996,0.0,374.9180468,0.105873136,11.480136968,1.3075923079999998
46,garlic_bread,167.066300725,0.4054939166666667,0.7998197295,3.3608764666666664,0.17161263326666665,0.11950831771666666,1.0446012157166666,0.1942727294333333,0.4409508466666667,0.0,287.50038506666664,0.8546474861666667,12.812605448833333,1.3209748308333333
47,gnocchi,161.88537402,0.059147,0.44582084099999997,3.0633231399999996,0.40042062000000006,0.39204876349999995,9.437808391400003,0.3882676387999999,0.40552664099999997,8.4900591,101.80668849999999,3.4729684410000004,25.49529160299999,3.61592032
