,ing_name,serving_size,vitamin_a,vitamin_d,vitamin_e,vitamin_c,thiamin,riboflavin,niacin,vitamin_b6,vitamin_b12,folic_acid,calcium,irom,protein,zink
687,sliced mushrooms,100 g,0.00 IU,10.00 IU,0.02 mg,0.0 mg,0.059 mg,0.130 mg,4.494 mg,0.148 mg,0.05 mcg,0.00 mcg,3.00 mg,0.31 mg,2.11 g,0.53 mg
25,green onions,100 g,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0
14,boneless skinless chicken breast,100 g,100.00 IU,8.00 IU,0.27 mg,0.0 mg,0.060 mg,0.200 mg,0.400 mg,0.010 mg,0.47 mcg,0.00 mcg,88.00 mg,0.91 mg,19.40 g,0.69 mg
300,dry-roasted unsalted peanuts,100 g,10.00 IU,0,0,1.0 mg,0.472 mg,0.324 mg,4.087 mg,0.174 mg,0.32 mcg,0.00 mcg,140.00 mg,9.30 mg,9.20 g,0.70 mg
483,lime,100 g,50.00 IU,0.00 IU,0.22 mg,30.0 mg,0.025 mg,0.015 mg,0.142 mg,0.038 mg,0.00 mcg,0.00 mcg,14.00 mg,0.09 mg,0.42 g,0.08 mg
2092,crushed red pepper flakes,100 g,870.00 IU,0.00 IU,0.05 mg,1.7 mg,0.044 mg,0.034 mg,0.137 mg,0.067 mg,0.00 mcg,0.00 mcg,13.00 mg,0.53 mg,0.92 g,0.10 mg
40,vidalia onion,100 g,0.00 IU,0,0,7.0 mg,0.200 mg,0.400 mg,3.700 mg,0.100 mg,0.70 mcg,17.00 mcg,280.00 mg,1.00 mg,9.00 g,0.88 mg
1609,kielbasa,100 g,32.00 IU,9.00 IU,0.39 mg,16.2 mg,0.146 mg,0.209 mg,3.694 mg,0.095 mg,0.72 mcg,0.00 mcg,40.00 mg,0.93 mg,12.36 g,1.55 mg
838,andouille sausage,100 g,144.00 IU,8.00 IU,0.09 mg,30.4 mg,0.071 mg,0.173 mg,3.675 mg,0.381 mg,0.43 mcg,0.00 mcg,21.00 mg,9.60 mg,15.05 g,2.13 mg
93,white rice,100 g,1.00 IU,0.00 IU,0.05 mg,0.0 mg,0.003 mg,0.006 mg,0.033 mg,0.005 mg,0.00 mcg,0.00 mcg,10.00 mg,0.62 mg,1.48 g,1.05 mg
68,fresh mussels,100 g,1442.00 IU,218.00 IU,2.58 mg,0.0 mg,0.176 mg,0.528 mg,0.024 mg,0.350 mg,1.95 mcg,0.00 mcg,129.00 mg,2.73 mg,15.86 g,2.30 mg
616,medium raw shrimp,100 g,4353.00 IU,0.00 IU,0.21 mg,58.1 mg,0.078 mg,0.115 mg,0.647 mg,0.138 mg,0.00 mcg,0.00 mcg,92.00 mg,1.60 mg,3.27 g,0.56 mg
696,frozen sweet peas,100 g,518.00 IU,0.00 IU,0,0.7 mg,0.494 mg,0.317 mg,1.189 mg,0.286 mg,0.00 mcg,0.00 mcg,364.00 mg,9.73 mg,52.47 g,4.90 mg
93,white sugar,100 g,1.00 IU,0.00 IU,0.05 mg,0.0 mg,0.003 mg,0.006 mg,0.033 mg,0.005 mg,0.00 mcg,0.00 mcg,10.00 mg,0.62 mg,1.48 g,1.05 mg
654,duck,100 g,0.00 IU,191.00 IU,2.70 mg,0.0 mg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 g,0.00 mg
10,plum sauce,100 g,313.00 IU,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0
18,red bean paste,100 g,0.00 IU,0.00 IU,0,0.0 mg,0.379 mg,0.149 mg,1.640 mg,0.075 mg,0.00 mcg,0.00 mcg,30.00 mg,2.00 mg,11.60 g,1.39 mg
7553,boiling water,100 g,433.00 IU,0.00 IU,0.07 mg,0.0 mg,0.260 mg,0.215 mg,3.025 mg,0.290 mg,0.00 mcg,39.00 mcg,80.00 mg,5.96 mg,2.37 g,0.62 mg
14,chicken wings,100 g,100.00 IU,8.00 IU,0.27 mg,0.0 mg,0.060 mg,0.200 mg,0.400 mg,0.010 mg,0.47 mcg,0.00 mcg,88.00 mg,0.91 mg,19.40 g,0.69 mg
2057,lemongrass,100 g,0,0,0,0.0 mg,0,0,0,0,0,0,23.00 mg,0.00 mg,1.30 g,0
1720,kaffir lime leaves,100 g,6748.00 IU,0.00 IU,2.50 mg,27.0 mg,0.067 mg,0.162 mg,1.114 mg,0.149 mg,0.00 mcg,0.00 mcg,67.00 mg,1.77 mg,2.13 g,0.50 mg
572,fresh galangal root,100 g,4751.00 IU,0.00 IU,0,160.1 mg,0.048 mg,0.471 mg,1.824 mg,0.348 mg,0.00 mcg,0.00 mcg,405.00 mg,17.45 mg,5.56 g,1.81 mg
799,lime%2c juice of,100 g,17.00 IU,0.00 IU,0.07 mg,40.7 mg,0.040 mg,0.025 mg,0.173 mg,0.061 mg,0.00 mcg,0.00 mcg,8.00 mg,0.18 mg,0.41 g,0.06 mg
2968,nam pla,100 g,0.00 IU,0,0,0,0.112 mg,0.090 mg,3.060 mg,0.182 mg,3.10 mcg,0,43.00 mg,0.71 mg,22.94 g,0.94 mg
508,fresh cilantro leaves,100 g,8424.00 IU,0.00 IU,0.75 mg,133.0 mg,0.086 mg,0.098 mg,1.313 mg,0.090 mg,0.00 mcg,0.00 mcg,138.00 mg,6.20 mg,2.97 g,1.07 mg
849,sate seasoning,100 g,9381.00 IU,0,0,45.0 mg,0,0,0,0,0,0,0,6.75 mg,0.00 g,0
456,rosemary,100 g,2924.00 IU,0.00 IU,0,21.8 mg,0.036 mg,0.152 mg,0.912 mg,0.336 mg,0.00 mcg,0.00 mcg,317.00 mg,6.65 mg,3.31 g,0.93 mg
59,french fries,100 g,0,0,0.98 mg,1.6 mg,0.120 mg,0.048 mg,2.717 mg,0.220 mg,0,0,14.00 mg,0.72 mg,3.41 g,0.46 mg
40,gravy,100 g,0.00 IU,0,0,7.0 mg,0.200 mg,0.400 mg,3.700 mg,0.100 mg,0.70 mcg,17.00 mcg,280.00 mg,1.00 mg,9.00 g,0.88 mg
2236,standing rib roast,100 g,8.00 IU,1.00 IU,0.43 mg,0.0 mg,0.217 mg,0.287 mg,4.343 mg,0.215 mg,0.96 mcg,12.00 mcg,55.00 mg,2.64 mg,15.17 g,2.27 mg
30,dry mustard,100 g,0.00 IU,0.00 IU,0.11 mg,0.0 mg,0.090 mg,0.060 mg,1.700 mg,0.142 mg,0.00 mcg,0.00 mcg,21.00 mg,1.30 mg,13.04 g,1.41 mg
456,fresh rosemary leaves,100 g,2924.00 IU,0.00 IU,0,21.8 mg,0.036 mg,0.152 mg,0.912 mg,0.336 mg,0.00 mcg,0.00 mcg,317.00 mg,6.65 mg,3.31 g,0.93 mg
7,fresh coarse ground black pepper,100 g,0.00 IU,2.00 IU,0.20 mg,0.0 mg,0.110 mg,0.210 mg,5.960 mg,0.130 mg,2.31 mcg,0.00 mcg,16.00 mg,1.55 mg,16.56 g,3.41 mg
90,pork,100 g,0.00 IU,0,0,0.0 mg,0.930 mg,0.330 mg,5.600 mg,0.550 mg,2.80 mcg,0.00 mcg,10.00 mg,1.52 mg,21.70 g,4.20 mg
282,reduced-sodium chicken broth,100 g,527.00 IU,0.00 IU,1.46 mg,4.1 mg,0.011 mg,0.166 mg,1.434 mg,0.158 mg,0.00 mcg,0.00 mcg,15.00 mg,0.35 mg,1.04 g,0.17 mg
149,chili powder,100 g,29650.00 IU,0.00 IU,38.14 mg,0.7 mg,0.250 mg,0.940 mg,11.600 mg,2.094 mg,0.00 mcg,0.00 mcg,330.00 mg,17.30 mg,13.46 g,4.30 mg
22,ground cumin,100 g,5130.00 IU,0.00 IU,0,50.0 mg,0.366 mg,0,4.080 mg,1.810 mg,0.00 mcg,0,2132.00 mg,37.88 mg,6.73 g,4.30 mg
695,ground black pepper,100 g,0.00 IU,2.00 IU,0.14 mg,0.0 mg,0.100 mg,0.250 mg,6.700 mg,0.140 mg,2.61 mcg,0.00 mcg,22.00 mg,1.79 mg,24.75 g,4.67 mg
793,medium shrimp,100 g,6.00 IU,0,2.61 mg,0,0.180 mg,0.250 mg,2.467 mg,0.085 mg,0.40 mcg,0,47.00 mg,1.54 mg,13.88 g,0.85 mg
145,shrimp flavor ramen noodle soup,100 g,15000.00 IU,0,0,2.0 mg,0.030 mg,0.600 mg,3.300 mg,0.060 mg,3.20 mcg,0.00 mcg,70.00 mg,3.94 mg,11.20 g,2.85 mg
76,salsa,100 g,550.00 IU,0,0,4.0 mg,0.050 mg,0.030 mg,1.080 mg,0.149 mg,0.00 mcg,0.00 mcg,12.00 mg,2.24 mg,1.50 g,0.17 mg
6382,black beans,100 g,0,0,0.47 mg,0,0.122 mg,0.021 mg,1.017 mg,0.062 mg,0,0,37.00 mg,1.57 mg,4.64 g,0.74 mg
53,frozen corn,100 g,44.00 IU,0,0,19.7 mg,0.374 mg,0.200 mg,1.074 mg,0.316 mg,0.00 mcg,0,6.00 mg,0.43 mg,1.47 g,0.28 mg
68,fresh cilantro,100 g,1442.00 IU,218.00 IU,2.58 mg,0.0 mg,0.176 mg,0.528 mg,0.024 mg,0.350 mg,1.95 mcg,0.00 mcg,129.00 mg,2.73 mg,15.86 g,2.30 mg
