,ing_name,serving_size,vitamin_a,vitamin_d,vitamin_e,vitamin_c,thiamin,riboflavin,niacin,vitamin_b6,vitamin_b12,folic_acid,calcium,irom,protein,zink
768,coarse black pepper,100 g,230.00 IU,0,1.00 mg,181.0 mg,0.050 mg,0.050 mg,0.300 mg,0.066 mg,0.00 mcg,0,55.00 mg,1.54 mg,1.40 g,0.27 mg
672,honey,100 g,0.00 IU,0.00 IU,0.00 mg,0.5 mg,0.000 mg,0.038 mg,0.121 mg,0.024 mg,0.00 mcg,0.00 mcg,6.00 mg,0.42 mg,0.30 g,0.22 mg
452,water,100 g,569.00 IU,0.00 IU,0.05 mg,8.1 mg,0.033 mg,0.021 mg,0.178 mg,0.045 mg,0.00 mcg,0.00 mcg,7.00 mg,0.24 mg,0.61 g,0.10 mg
54,orange rind,100 g,1496.00 IU,0.00 IU,0,16.0 mg,0.046 mg,0.034 mg,0.593 mg,0.060 mg,0.00 mcg,0.00 mcg,5.00 mg,0.47 mg,1.16 g,0.14 mg
397,orange juice,100 g,200.00 IU,0.00 IU,0.04 mg,50.0 mg,0.090 mg,0.030 mg,0.400 mg,0.040 mg,0.00 mcg,0.00 mcg,11.00 mg,0.20 mg,0.70 g,0.05 mg
608,phyllo pastry sheets,100 g,0.00 IU,0.00 IU,0.08 mg,0.0 mg,0.541 mg,0.341 mg,4.073 mg,0.030 mg,0.00 mcg,70.00 mcg,11.00 mg,3.21 mg,7.10 g,0.49 mg
538,almonds,100 g,2.00 IU,0.00 IU,25.63 mg,0.0 mg,0.205 mg,1.138 mg,3.618 mg,0.137 mg,0.00 mcg,0.00 mcg,269.00 mg,3.71 mg,21.15 g,3.12 mg
70,beef,100 g,42.00 IU,4.00 IU,0.12 mg,0.3 mg,0.052 mg,0.161 mg,4.260 mg,0.221 mg,1.87 mcg,0.00 mcg,10.00 mg,2.22 mg,21.80 g,4.98 mg
408,fresh ground black pepper,100 g,0.00 IU,0,0.24 mg,0.0 mg,0.270 mg,0.457 mg,7.485 mg,0.642 mg,6.75 mcg,0.00 mcg,7.00 mg,4.02 mg,22.77 g,3.48 mg
1335,parmesan cheese,100 g,781.00 IU,19.00 IU,0.22 mg,0.0 mg,0.039 mg,0.332 mg,0.271 mg,0.091 mg,1.20 mcg,0.00 mcg,1184.00 mg,0.82 mg,35.75 g,2.75 mg
344,balsamic vinegar,100 g,0.00 IU,0,0,0.0 mg,0,0,0,0,0,0,27.00 mg,0.72 mg,0.49 g,0.08 mg
1368,soy sauce,100 g,0.00 IU,0.00 IU,0.00 mg,0.0 mg,0.059 mg,0.152 mg,3.951 mg,0.200 mg,0.00 mcg,0.00 mcg,20.00 mg,2.38 mg,10.51 g,0.43 mg
101,worcestershire sauce,100 g,79.00 IU,0.00 IU,0.08 mg,13.0 mg,0.070 mg,0.130 mg,0.700 mg,0.000 mg,0.00 mcg,0.00 mcg,107.00 mg,5.30 mg,0.00 g,0.19 mg
66,garlic cloves,100 g,0.00 IU,0.00 IU,0.67 mg,1.2 mg,0.435 mg,0.141 mg,0.796 mg,1.654 mg,0.00 mcg,0.00 mcg,79.00 mg,5.65 mg,16.55 g,2.99 mg
573,fresh basil,100 g,5275.00 IU,0.00 IU,0.80 mg,18.0 mg,0.034 mg,0.076 mg,0.902 mg,0.155 mg,0.00 mcg,0.00 mcg,177.00 mg,3.17 mg,3.15 g,0.81 mg
